instrument,symbol,timestamp,open,high,low,close,volume,source,interval,adjustment,tick_paise
DEMO-SKIP,DEMO-SKIP,2026-09-16T12:30:00+05:30,102.55,103.10,102.10,102.60,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T12:30:00+05:30,102.55,103.10,102.10,102.60,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T12:45:00+05:30,102.60,103.15,102.15,102.65,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T12:45:00+05:30,102.60,103.15,102.15,102.65,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T12:45:00+05:30,102.60,103.15,102.15,102.65,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T13:00:00+05:30,102.65,103.20,102.20,102.70,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T13:00:00+05:30,102.65,103.20,102.20,102.70,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T13:00:00+05:30,102.65,103.20,102.20,102.70,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T13:15:00+05:30,102.70,103.25,102.25,102.75,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T13:15:00+05:30,102.70,103.25,102.25,102.75,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T13:15:00+05:30,102.70,103.25,102.25,102.75,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T13:30:00+05:30,102.75,103.30,102.30,102.80,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T13:30:00+05:30,102.75,103.30,102.30,102.80,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T13:30:00+05:30,102.75,103.30,102.30,102.80,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T13:45:00+05:30,102.80,103.35,102.35,102.85,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T13:45:00+05:30,102.80,103.35,102.35,102.85,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T13:45:00+05:30,102.80,103.35,102.35,102.85,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T14:00:00+05:30,102.85,103.40,102.40,102.90,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T14:00:00+05:30,102.85,103.40,102.40,102.90,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T14:00:00+05:30,102.85,103.40,102.40,102.90,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T14:15:00+05:30,102.90,103.45,102.45,102.95,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T14:15:00+05:30,102.90,103.45,102.45,102.95,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T14:15:00+05:30,102.90,103.45,102.45,102.95,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T14:30:00+05:30,102.95,103.50,102.50,103.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T14:30:00+05:30,102.95,103.50,102.50,103.00,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T14:30:00+05:30,102.95,103.50,102.50,103.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T14:45:00+05:30,103.00,103.55,102.55,103.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T14:45:00+05:30,103.00,103.55,102.55,103.05,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T14:45:00+05:30,103.00,103.55,102.55,103.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T15:00:00+05:30,103.05,103.60,102.60,103.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T15:00:00+05:30,103.05,103.60,102.60,103.10,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T15:00:00+05:30,103.05,103.60,102.60,103.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T15:15:00+05:30,103.10,103.65,102.65,103.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T15:15:00+05:30,103.10,103.65,102.65,103.15,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T15:15:00+05:30,103.10,103.65,102.65,103.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T15:30:00+05:30,103.15,103.70,102.70,103.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T15:30:00+05:30,103.15,103.70,102.70,103.20,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T15:30:00+05:30,103.15,103.70,102.70,103.20,10000,SYNTHETIC,15,unadjusted,5
